train size: 9000  test size: 1000
epoch 0, accuracy: 0.249
epoch 1, accuracy: 0.258
epoch 2, accuracy: 0.276
epoch 3, accuracy: 0.278
epoch 4, accuracy: 0.265
epoch 5, accuracy: 0.280
epoch 6, accuracy: 0.289
epoch 7, accuracy: 0.301
epoch 8, accuracy: 0.309
epoch 9, accuracy: 0.330
epoch 10, accuracy: 0.327
epoch 11, accuracy: 0.358
epoch 12, accuracy: 0.350
epoch 13, accuracy: 0.342
epoch 14, accuracy: 0.351
epoch 15, accuracy: 0.360
epoch 16, accuracy: 0.367
epoch 17, accuracy: 0.375
epoch 18, accuracy: 0.373
epoch 19, accuracy: 0.367
epoch 20, accuracy: 0.366
epoch 21, accuracy: 0.358
epoch 22, accuracy: 0.365
epoch 23, accuracy: 0.377
epoch 24, accuracy: 0.376
epoch 25, accuracy: 0.380
epoch 26, accuracy: 0.392
epoch 27, accuracy: 0.386
epoch 28, accuracy: 0.395
epoch 29, accuracy: 0.401
epoch 30, accuracy: 0.404
epoch 31, accuracy: 0.394
epoch 32, accuracy: 0.414
epoch 33, accuracy: 0.403
epoch 34, accuracy: 0.401
epoch 35, accuracy: 0.410
epoch 36, accuracy: 0.431
epoch 37, accuracy: 0.407
epoch 38, accuracy: 0.408
epoch 39, accuracy: 0.423
epoch 40, accuracy: 0.432
epoch 41, accuracy: 0.419
epoch 42, accuracy: 0.422
epoch 43, accuracy: 0.436
epoch 44, accuracy: 0.426
epoch 45, accuracy: 0.429
epoch 46, accuracy: 0.430
epoch 47, accuracy: 0.438
epoch 48, accuracy: 0.447
epoch 49, accuracy: 0.429
epoch 50, accuracy: 0.432
epoch 51, accuracy: 0.442
epoch 52, accuracy: 0.437
epoch 53, accuracy: 0.438
epoch 54, accuracy: 0.438
epoch 55, accuracy: 0.443
epoch 56, accuracy: 0.452
epoch 57, accuracy: 0.435
epoch 58, accuracy: 0.436
epoch 59, accuracy: 0.443
epoch 60, accuracy: 0.440
epoch 61, accuracy: 0.445
epoch 62, accuracy: 0.449
epoch 63, accuracy: 0.448
epoch 64, accuracy: 0.431
epoch 65, accuracy: 0.437
epoch 66, accuracy: 0.440
epoch 67, accuracy: 0.454
epoch 68, accuracy: 0.445
epoch 69, accuracy: 0.430
epoch 70, accuracy: 0.436
epoch 71, accuracy: 0.443
epoch 72, accuracy: 0.452
epoch 73, accuracy: 0.439
epoch 74, accuracy: 0.450
epoch 75, accuracy: 0.445
epoch 76, accuracy: 0.439
